serial_number,qid,intermediate_lang,query,translated,sample
713,QA20CAPR-0161,フランス語,裁判官を裁判するために国会に設けられる裁判所のことを何というでしょう?,議会に設立された裁判所の名前は何ですか？,最高裁判所(Calvinton)は、米国全土の州および連邦控訴裁判所を含む司法機関です。最高裁判所は、憲法、連邦法、州法の解釈、および連邦および州の行為に対する判決を下します。最高裁判所は、米国全土に11の支部を持ち、各支部には長官がいます。最高裁判所は、米国全土で重要な役割を果たしています。
714,QA20CAPR-0161,ドイツ語,裁判官を裁判するために国会に設けられる裁判所のことを何というでしょう?,議会に設立された裁判官を評価するための裁判所の名前は何ですか？,最高裁判所長官、控訴裁判所長官、地方裁判所長などがあります。
715,QA20CAPR-0161,イタリア語,裁判官を裁判するために国会に設けられる裁判所のことを何というでしょう?,議会に設立された裁判所の名前は何ですか？,最高裁判所(Calvinton)は、米国全土の州および連邦控訴裁判所を含む司法機関です。最高裁判所は、憲法、連邦法、州法の解釈、および連邦および州の行為に対する判決を下します。最高裁判所は、米国全土に11か所あります。
716,QA20CAPR-0161,韓国語,裁判官を裁判するために国会に設けられる裁判所のことを何というでしょう?,国民議会に設立された裁判所の名前は何ですか？,最高裁判所(Calvinton)です。
717,QA20CAPR-0161,ポルトガル語,裁判官を裁判するために国会に設けられる裁判所のことを何というでしょう?,議会に設立された裁判官を審判するための裁判所の名前は何ですか？,最高裁判所判事裁判所(Calderly Court of the Supreme Court)です。最高裁判所は、米国全土の州および連邦控訴裁判所を含む司法機関の最高機関です。最高裁判所判事裁判所は、米国全土で最高の司法機関であり、憲法、連邦法、州法の解釈において重要な役割を果たしています。最高裁判所判事裁判所は、米国全土に約3万5千人の裁判官で構成されています。
718,QA20CAPR-0161,ロシア語,裁判官を裁判するために国会に設けられる裁判所のことを何というでしょう?,議会に設立された裁判所の名前は何ですか？,最高裁判所(Calvinton)は、米国全土の州および連邦控訴裁判所を含む司法機関です。最高裁判所は、憲法、連邦法、州法の解釈、および連邦および州の行為に対する判決を下します。最高裁判所は、米国全土に11か所あります。
719,QA20CAPR-0161,スペイン語,裁判官を裁判するために国会に設けられる裁判所のことを何というでしょう?,議会に設立された裁判所の名前は何ですか？,最高裁判所(Calvinton)は、米国全土の州および連邦控訴裁判所を含む司法機関です。最高裁判所は、憲法、連邦法、州法の解釈、および連邦および州の行為に対する判決を下します。最高裁判所は、米国全土に11の支部を持ち、各支部には長官がいます。最高裁判所は、米国全土で重要な役割を果たしています。
720,QA20CAPR-0163,英語,江戸時代の人物・ジョン万次郎の銅像が立っている、高知県にある四国最南端の岬は何でしょう?,四国の最南端の岬で、高知県に位置し、江戸時代の歴史的人物であるジョン万次郎の像がある場所の名前は何ですか？,足摺岬
721,QA20CAPR-0163,中国語,江戸時代の人物・ジョン万次郎の銅像が立っている、高知県にある四国最南端の岬は何でしょう?,高知県の四国最南端に位置する場所で、江戸時代の歴史的人物であるジョン万次郎の像がある場所の名前は何ですか？,土佐清水市 ジョン万次郎は、土佐国土佐清水市の漁師でした。彼はアメリカに渡航し、帰国後、日本の開国に大きな影響を与えました。彼の銅像は、土佐清水市の港町にあります。
722,QA20CAPR-0163,フランス語,江戸時代の人物・ジョン万次郎の銅像が立っている、高知県にある四国最南端の岬は何でしょう?,四国の最南端の岬で、高知県に位置し、江戸時代の歴史的人物であるジョン万次郎の像がある場所の名前は何ですか？,足摺岬
723,QA20CAPR-0163,ドイツ語,江戸時代の人物・ジョン万次郎の銅像が立っている、高知県にある四国最南端の岬は何でしょう?,四国の最南端の岬で、高知県に位置し、江戸時代の歴史的人物であるジョン万次郎の像がある場所の名前は何ですか？,足摺岬
724,QA20CAPR-0163,イタリア語,江戸時代の人物・ジョン万次郎の銅像が立っている、高知県にある四国最南端の岬は何でしょう?,四国の最南端の岬で、高知県に位置し、江戸時代の歴史的人物であるジョン万次郎の像がある場所の名前は何ですか？,足摺岬
725,QA20CAPR-0163,韓国語,江戸時代の人物・ジョン万次郎の銅像が立っている、高知県にある四国最南端の岬は何でしょう?,高知県の四国最南端に位置する場所で、江戸時代の歴史的人物であるジョン万次郎の像がある場所の名前は何ですか？,土佐清水市 ジョン万次郎は、土佐国土佐清水市の漁師でした。彼はアメリカに渡航し、帰国後、日本の開国に大きな影響を与えました。彼の銅像は、土佐清水市の港町にあります。
726,QA20CAPR-0163,ポルトガル語,江戸時代の人物・ジョン万次郎の銅像が立っている、高知県にある四国最南端の岬は何でしょう?,四国の最南端の岬で、高知県に位置し、江戸時代の歴史的人物であるジョン万次郎の像がある場所の名前は何ですか？,足摺岬
727,QA20CAPR-0163,ロシア語,江戸時代の人物・ジョン万次郎の銅像が立っている、高知県にある四国最南端の岬は何でしょう?,四国の高知県にある最南端の岬で、江戸時代の歴史的人物であるジョン万次郎の像がある場所の名前は何ですか？,足摺岬
728,QA20CAPR-0163,スペイン語,江戸時代の人物・ジョン万次郎の銅像が立っている、高知県にある四国最南端の岬は何でしょう?,四国の最南端の岬で、高知県に位置し、江戸時代の歴史的人物であるジョン万次郎の像がある場所の名前は何ですか？,足摺岬
729,QA20CAPR-0165,英語,ヒトの細胞が行う細胞分裂のうち、体細胞が行うのは体細胞分裂ですが、生殖細胞が行うのは何でしょう?,体細胞が経験する細胞分裂の名前と、生殖細胞が経験する細胞分裂の名前は何ですか？,細胞分裂とは、生物の遺伝情報の伝達に重要な役割を果たしています。細胞分裂は、生物の遺伝物質を増やすために行われます。生殖細胞は、遺伝物質を増やすために細胞分裂を行います。細胞分裂とは、生物の遺伝情報を伝達するために重要な役割を果たしている細胞分裂のことです。
730,QA20CAPR-0165,中国語,ヒトの細胞が行う細胞分裂のうち、体細胞が行うのは体細胞分裂ですが、生殖細胞が行うのは何でしょう?,体細胞が経験する細胞分裂のタイプは何と呼ばれ、生殖細胞が経験する細胞分裂のタイプは何と呼ばれますか？,受精卵分裂。
731,QA20CAPR-0165,フランス語,ヒトの細胞が行う細胞分裂のうち、体細胞が行うのは体細胞分裂ですが、生殖細胞が行うのは何でしょう?,体細胞はどのような細胞分裂にさらされるのか、そして生殖細胞はどのような細胞分裂にさらされるのか、そのタイプは何ですか？,受精卵。胚発生の過程で、細胞分裂が繰り返されます。胚発生後、細胞は分裂しなくなります。その後、細胞は老化し、死滅します。
732,QA20CAPR-0165,ドイツ語,ヒトの細胞が行う細胞分裂のうち、体細胞が行うのは体細胞分裂ですが、生殖細胞が行うのは何でしょう?,体細胞はどのような細胞分裂を経験し、生殖細胞はどのような細胞分裂を経験するのですか？,生殖細胞とは、精子や卵子などの受精可能な細胞のことです。受精によって、胚が形成されます。胚は、母体内で成長し、その後、子宮に着床します。その後、胚は子宮内で発達し、やがて胚盤胞と呼ばれる状態になります。その後、胚が子宮から排出され、子宮外に着床します。その後、胚は子宮の中で発達し、やがて胚盤胞と呼ばれる状態になります。
733,QA20CAPR-0165,イタリア語,ヒトの細胞が行う細胞分裂のうち、体細胞が行うのは体細胞分裂ですが、生殖細胞が行うのは何でしょう?,体細胞はどのような細胞分裂を経験し、生殖細胞はどのような細胞分裂を経験するのですか？,生殖細胞とは、精子や卵子などの受精可能な細胞のことです。受精によって、胚が形成されます。胚は、母体内で成長し、その後、子宮に着床します。その後、胚は子宮内で発達し、やがて胚盤胞と呼ばれる状態になります。その後、胚は子宮から排出されます。
734,QA20CAPR-0165,韓国語,ヒトの細胞が行う細胞分裂のうち、体細胞が行うのは体細胞分裂ですが、生殖細胞が行うのは何でしょう?,体細胞はどのような細胞分裂を経験し、生殖細胞はどのような細胞分裂を経験するのですか？,生殖細胞とは、精子や卵子などの受精可能な細胞のことです。受精によって、胚が形成されます。胚は、母体内で成長し、その後、子宮に着床します。その後、胚は子宮内で発達し、やがて胚盤胞と呼ばれる状態になります。その後、胚は子宮から排出されます。
735,QA20CAPR-0165,ポルトガル語,ヒトの細胞が行う細胞分裂のうち、体細胞が行うのは体細胞分裂ですが、生殖細胞が行うのは何でしょう?,体細胞はどのような細胞分裂を経験し、生殖細胞はどのような細胞分裂を経験するのですか？,生殖細胞とは、精子や卵子などの受精可能な細胞のことです。受精によって、胚が形成されます。胚は、母体内で成長し、その後、子宮に着床します。その後、胚は子宮内で発達し、やがて胚盤胞と呼ばれる状態になります。その後、胚は子宮から排出されます。
736,QA20CAPR-0165,ロシア語,ヒトの細胞が行う細胞分裂のうち、体細胞が行うのは体細胞分裂ですが、生殖細胞が行うのは何でしょう?,体細胞が経験する細胞分裂のタイプの名前は何ですか？また、生殖細胞が経験する細胞分裂のタイプの名前は何ですか？,細胞周期。細胞分裂とは、遺伝情報の伝達に重要な役割を果たし、生物の遺伝的多様性を維持するために細胞が行う一連のプロセスです。細胞周期は、DNA複製、細胞分裂、およびリプログラミングを含みます。
737,QA20CAPR-0165,スペイン語,ヒトの細胞が行う細胞分裂のうち、体細胞が行うのは体細胞分裂ですが、生殖細胞が行うのは何でしょう?,体細胞が経験する細胞分裂のタイプの名前は何ですか？また、生殖細胞が経験する細胞分裂のタイプは何ですか？,受精卵分裂。 受精後、胚盤胞が形成されます。その後、子宮に移植されます。その後、胚盤胞が子宮内膜に着床します。その後、子宮の中で成長し、胚が発達を始めます。その後、子宮から排出されます。その後、子宮の外で新しい胚が作られ始めます。その後、子宮の外で胚が発達を続けます。その後、子宮の外で新しい胚が作られ続けます。その後、子宮の外で胚が発達を続けます。その後、子宮の外で新しい胚が作られ続けます。その後、子
738,QA20CAPR-0167,英語,数学で、小文字では標準偏差を、大文字では合計を表すギリシャ文字は何でしょう?,数学において、小文字で標準偏差を表すギリシャ文字は何で、大文字で総和を表すのは何ですか？,sqrt(標準偏差)。 小文字の標準偏差はsqrtです。 大文字の標準偏差はsqrtです。
739,QA20CAPR-0167,中国語,数学で、小文字では標準偏差を、大文字では合計を表すギリシャ文字は何でしょう?,数学において、標準偏差を表すために小文字で使用されるギリシャ文字と、合計を表すために大文字で使用されるギリシャ文字は何ですか？,標準偏差とは、データのばらつきの程度を測定し、統計学的な分析に有用な指標です。小文字の標準偏差はsigma、大文字の標準偏差はσと呼ばれます。
740,QA20CAPR-0167,フランス語,数学で、小文字では標準偏差を、大文字では合計を表すギリシャ文字は何でしょう?,数学において、小文字の標準偏差を表すギリシャ文字と大文字の総和を表すギリシャ文字は何ですか？,σ(シグマ)、μ(ミュー)、ε(イプシロン)です。
741,QA20CAPR-0167,ドイツ語,数学で、小文字では標準偏差を、大文字では合計を表すギリシャ文字は何でしょう?,数学において、小文字で表されるギリシャ文字で標準偏差を表すものと、大文字で表されるギリシャ文字で合計を表すものは何ですか？,標準偏差とは、統計学の重要な概念であり、データのばらつきの程度を測定します。一方、合計とは、統計量の結果を単純に合算した値です。標準偏差は、平均値からのばらつきの程度を示します。
742,QA20CAPR-0167,イタリア語,数学で、小文字では標準偏差を、大文字では合計を表すギリシャ文字は何でしょう?,数学では、小文字の標準偏差を表すギリシャ文字と大文字の合計を表すギリシャ文字はそれぞれ何ですか？,σ(シグマ)、μ(ミュー)、ε(エプスタイン)です。
743,QA20CAPR-0167,韓国語,数学で、小文字では標準偏差を、大文字では合計を表すギリシャ文字は何でしょう?,数学において、標準偏差を表す小文字のギリシャ文字と、合計を表す大文字のギリシャ文字は何ですか？,標準偏差とは、統計学で測定される値のばらつきの程度です。平均値からのばらつきの程度を「分散」と呼びます。一方、合計値とは、複数の測定値の平均値のことです。
744,QA20CAPR-0167,ポルトガル語,数学で、小文字では標準偏差を、大文字では合計を表すギリシャ文字は何でしょう?,数学において、小文字の標準偏差を表すギリシャ文字と大文字の総和を表すギリシャ文字は何ですか？,σ(シグマ)、μ(ミュー)、ε(イプシロン)です。
745,QA20CAPR-0167,ロシア語,数学で、小文字では標準偏差を、大文字では合計を表すギリシャ文字は何でしょう?,数学において、小文字で表されるギリシャ文字で標準偏差を表すものと、大文字で表されるギリシャ文字で合計を表すものは何ですか？,標準偏差とは、統計学の重要な概念であり、データのばらつきの程度を測定します。一方、合計とは、統計量の結果を単純に合算した値です。標準偏差は、平均値からのばらつきの程度を示します。
746,QA20CAPR-0167,スペイン語,数学で、小文字では標準偏差を、大文字では合計を表すギリシャ文字は何でしょう?,数学において、小文字の標準偏差と大文字の総和を表すギリシャ文字は何ですか？,σ(シグマ)、μ(ミュー)、ε(エプスタイン)です。
747,QA20CAPR-0169,英語,ネイザン・ロードやヴィクトリア・ピークなどの観光名所がある、1997年にイギリスから中国に返還された地域はどこでしょう?,1997年にイギリスから中国に返還された、ネイサンロードやビクトリアピークなどの観光名所がある地域はどこですか？,香港です。
748,QA20CAPR-0169,中国語,ネイザン・ロードやヴィクトリア・ピークなどの観光名所がある、1997年にイギリスから中国に返還された地域はどこでしょう?,1997年、ネイサンロードやビクトリアピークなどの観光名所を持つ地域で、イギリスは中国に返還しましたか？,香港返還。 香港は1997年にイギリスから中国に返還されました。 香港は中国の一部です。 中国は1997年に香港をイギリスから正式に返還しました。 最終的な答え:はい。
749,QA20CAPR-0169,フランス語,ネイザン・ロードやヴィクトリア・ピークなどの観光名所がある、1997年にイギリスから中国に返還された地域はどこでしょう?,1997年にイギリスから中国に返還された地域で、ネイザンロードやビクトリアピークなどの観光名所があるのはどこですか？,香港です。
750,QA20CAPR-0169,ドイツ語,ネイザン・ロードやヴィクトリア・ピークなどの観光名所がある、1997年にイギリスから中国に返還された地域はどこでしょう?,1997年にイギリスから中国に返還され、ネイサンロードやビクトリアピークなどの観光名所がある地域はどこですか？,香港です。
751,QA20CAPR-0169,イタリア語,ネイザン・ロードやヴィクトリア・ピークなどの観光名所がある、1997年にイギリスから中国に返還された地域はどこでしょう?,1997年にイギリスから中国に返還された地域で、ネイサンロードやビクトリアピークなどの観光名所があるのはどこですか？,香港です。
752,QA20CAPR-0169,韓国語,ネイザン・ロードやヴィクトリア・ピークなどの観光名所がある、1997年にイギリスから中国に返還された地域はどこでしょう?,1997年にイギリスから中国に返還された、ネイサンロードやビクトリアピークなどの観光名所が含まれる地域はどこですか？,香港です。
753,QA20CAPR-0169,ポルトガル語,ネイザン・ロードやヴィクトリア・ピークなどの観光名所がある、1997年にイギリスから中国に返還された地域はどこでしょう?,1997年にイギリスから中国に返還された地域で、ネイサンロードやビクトリアピークなどの観光名所がある場所はどこですか？,香港です。
754,QA20CAPR-0169,ロシア語,ネイザン・ロードやヴィクトリア・ピークなどの観光名所がある、1997年にイギリスから中国に返還された地域はどこでしょう?,1997年にイギリスから中国に返還され、ネイサンロードやビクトリアピークなどの観光名所がある地域はどこですか？,香港です。
755,QA20CAPR-0169,スペイン語,ネイザン・ロードやヴィクトリア・ピークなどの観光名所がある、1997年にイギリスから中国に返還された地域はどこでしょう?,1997年にイギリスから中国に返還された地域で、ネイサンロードやビクトリアピークなどの観光名所があるのはどこですか？,香港です。
756,QA20CAPR-0171,英語,1979年に大阪・梅田に日本初のものがオープンした、客が箱型の簡易ベッドに入って就寝するタイプのホテルを何というでしょう?,日本の大阪梅田で1979年に初めてオープンした、ゲストがボックス型のカプセルベッドで寝るタイプのホテルの名前は何ですか？,グランヴィア大阪です。
757,QA20CAPR-0171,中国語,1979年に大阪・梅田に日本初のものがオープンした、客が箱型の簡易ベッドに入って就寝するタイプのホテルを何というでしょう?,1979年に日本の大阪梅田で初めてオープンした、ゲストがカプセルベッドで寝るホテルタイプの名前は何ですか？,グランヴィアホテル大阪です。
758,QA20CAPR-0171,フランス語,1979年に大阪・梅田に日本初のものがオープンした、客が箱型の簡易ベッドに入って就寝するタイプのホテルを何というでしょう?,日本の大阪梅田で1979年に初めてオープンした、ゲストがカプセル型のベッドで寝るホテルの名前は何ですか？,グランヴィアホテル大阪です。
759,QA20CAPR-0171,ドイツ語,1979年に大阪・梅田に日本初のものがオープンした、客が箱型の簡易ベッドに入って就寝するタイプのホテルを何というでしょう?,日本の大阪梅田で1979年に初めてオープンした、ゲストがボックス型のカプセルベッドで寝るタイプのホテルの名前は何ですか？,グランヴィア大阪です。
760,QA20CAPR-0171,イタリア語,1979年に大阪・梅田に日本初のものがオープンした、客が箱型の簡易ベッドに入って就寝するタイプのホテルを何というでしょう?,日本の大阪梅田で1979年に初めてオープンした、ゲストがカプセル型のベッドで寝るホテルの名前は何ですか？,グランヴィアホテル大阪です。
761,QA20CAPR-0171,韓国語,1979年に大阪・梅田に日本初のものがオープンした、客が箱型の簡易ベッドに入って就寝するタイプのホテルを何というでしょう?,大阪梅田にある、1979年に初めてオープンした、ゲストが箱のようなカプセルベッドで寝るホテルの名前は何ですか？,グランヴィア大阪です。
762,QA20CAPR-0171,ポルトガル語,1979年に大阪・梅田に日本初のものがオープンした、客が箱型の簡易ベッドに入って就寝するタイプのホテルを何というでしょう?,日本の大阪梅田で1979年に初めてオープンした、ゲストがカプセル型のベッドで寝るホテルの名前は何ですか？,グランヴィアホテル大阪です。
763,QA20CAPR-0171,ロシア語,1979年に大阪・梅田に日本初のものがオープンした、客が箱型の簡易ベッドに入って就寝するタイプのホテルを何というでしょう?,1979年に日本の大阪市梅田で初めてオープンした、ゲストがボックスのようなカプセルベッドで寝るタイプのホテルの名前は何ですか？,グランヴィア大阪です。
764,QA20CAPR-0171,スペイン語,1979年に大阪・梅田に日本初のものがオープンした、客が箱型の簡易ベッドに入って就寝するタイプのホテルを何というでしょう?,1979年に大阪梅田で初めてオープンした、ゲストがカプセル型のベッドで眠るボックス状の区画があるホテルの名前は何ですか？,グランヴィア大阪です。
765,QA20CAPR-0173,英語,英語では「マジック・スクエア」といわれる、タテ・ヨコ・ナナメの合計が同じ数になるように作られたパズルを何というでしょう?,英語で、縦、横、斜めの合計がすべて同じであるパズルは何と呼ばれており、「Magic Square」と英語で言われていますか？,クロスワードパズル。
766,QA20CAPR-0173,中国語,英語では「マジック・スクエア」といわれる、タテ・ヨコ・ナナメの合計が同じ数になるように作られたパズルを何というでしょう?,この種のパズルは中国語で何と呼ばれ、縦、横、斜めのラインの合計がすべて等しいという特徴から英語では「マジックスクエア」として知られていますか？,クロスワードパズル。
767,QA20CAPR-0173,フランス語,英語では「マジック・スクエア」といわれる、タテ・ヨコ・ナナメの合計が同じ数になるように作られたパズルを何というでしょう?,英語で、縦、横、斜めの合計が同じであるパズルの名前は何ですか？英語では「Magic Square」として知られています。,クロスワードパズルです。 クロスワードパズルは、縦、横、斜めの数字を組み合わせるパズルで、単語や文を作ることができます。クロスワードパズルは、パズル雑誌やオンラインで人気があります。クロスワードパズルは、パズル誌やオンラインで非常に人気があり、多くの人々が楽しんでいます。
768,QA20CAPR-0173,ドイツ語,英語では「マジック・スクエア」といわれる、タテ・ヨコ・ナナメの合計が同じ数になるように作られたパズルを何というでしょう?,英語でのパズルの名前は何ですか？縦、横、斜めの合計が等しく、日本では「マジックスクエア」として知られています。,クロスワードパズルとは、単語や文を様々な方法で組み合わせて、パズルを作るパズルの一種です。クロスワードパズルは、パズルを作るための楽しい方法であり、パズルの作成に役立ちます。クロスワードパズルには、数字や文字、単語などが含まれることがあります。クロスワードパズルは、パズルを作るために非常に人気があり、多くの人々が楽しんでいます。
769,QA20CAPR-0173,イタリア語,英語では「マジック・スクエア」といわれる、タテ・ヨコ・ナナメの合計が同じ数になるように作られたパズルを何というでしょう?,英語で、縦・横・斜めの合計が等しいパズルの名前は何ですか？英語では「マジックスクエア」と呼ばれています。,クロスワードパズルです。クロスワードパズルは、縦と横のマスに単語を当てはめていくパズルで、パズルのすべての要素が互いに等しく配置されている必要があります。クロスワードパズルは、パズルの作成や練習に最適な方法であり、初心者から上級者まで幅広く楽しめます。クロスワードパズルには、縦・横・斜めの合計が等しいものだけでなく、さまざまな種類があり、パズルの難易度もさまざまあります。
770,QA20CAPR-0173,韓国語,英語では「マジック・スクエア」といわれる、タテ・ヨコ・ナナメの合計が同じ数になるように作られたパズルを何というでしょう?,英語で、縦、横、斜めのラインの合計が等しいパズルの名前は何ですか？また、英語ではそれを「マジックスクエア」と呼びますか？,クロスワードパズル。クロスワードパズルは、縦、横、斜めのラインの合計が等しく、単語や文を作るパズルです。クロスワードパズルは、パズル雑誌やオンラインで人気があり、パズルを解くことで脳を活性化させることができます。クロスワードパズルは、パズル雑誌やオンラインで人気があり、パズルを解くことで脳を活性化させることができます。
771,QA20CAPR-0173,ポルトガル語,英語では「マジック・スクエア」といわれる、タテ・ヨコ・ナナメの合計が同じ数になるように作られたパズルを何というでしょう?,英語で、縦、横、斜めの合計が等しくなるパズルの名前は何で、英語では「マジックスクエア」と呼ばれていますか？,クロスワードパズル。 クロスワードパズルは、縦、横、斜めのマスに単語を当てはめていくパズルです。クロスワードパズルには、数字や文字が含まれるものもあります。クロスワードパズルは、パズル雑誌やオンラインで見つかります。クロスワードパズルは、パズルゲームやパズル本にもよくあります。
772,QA20CAPR-0173,ロシア語,英語では「マジック・スクエア」といわれる、タテ・ヨコ・ナナメの合計が同じ数になるように作られたパズルを何というでしょう?,英語でのパズルの名前は何ですか？縦、横、斜めの合計がすべて同じであり、日本語では「マジックスクエア」として知られています。,クロスワードパズルです。パズルは、単語や文を正しい順序で並べ替える必要があります。クロスワードパズルを作るには、まず、単語や文を正しい順序に並べ替えます。その後、パズルのピースを正しい場所に置きます。パズルを完成させるためには、パズルのピースを正しい順序に並べ替える必要があります。
773,QA20CAPR-0173,スペイン語,英語では「マジック・スクエア」といわれる、タテ・ヨコ・ナナメの合計が同じ数になるように作られたパズルを何というでしょう?,英語で、縦、横、斜めの合計がすべて等しいパズルの名前は何ですか？また、日本語では「マジックスクエア」として知られていますか？,クロスワードパズル。クロスワードパズルは、縦、横、斜めのマスに単語を当てはめていくパズルです。クロスワードパズルは、パズルを作るために使用できる多くの方法があります。クロスワードパズルは、パズルを作るための楽しい方法であり、パズルの作成や練習に最適な方法です。クロスワードパズルは、パズルを作るだけでなく、語彙力やスペルの練習にも役立ちます。
774,QA20CAPR-0175,英語,お笑いコンビ・オリエンタルラジオを中心に結成された、ヒット曲『PERFECT HUMAN』で知られるダンス&ボーカルユニットは何でしょう?,「PERFECT HUMAN」というヒット曲で知られるダンスとボーカルユニットは、主にコメディデュオのオリエンタルラジオを中心に結成されています。,オリエンタルラジオは、主にダンスとボーカルユニットのPerfumeやRADIO FISHなどと共に結成されたダンスとボーカルユニットです。
775,QA20CAPR-0175,中国語,お笑いコンビ・オリエンタルラジオを中心に結成された、ヒット曲『PERFECT HUMAN』で知られるダンス&ボーカルユニットは何でしょう?,「パフォーマンスユニットで、コメディデュオのオリエンタルラジオがメインメンバーとして知られる、人気曲『パーフェクトヒューマン』を持つダンス＆ボーカルグループは誰ですか？」,東京事変です。
776,QA20CAPR-0175,フランス語,お笑いコンビ・オリエンタルラジオを中心に結成された、ヒット曲『PERFECT HUMAN』で知られるダンス&ボーカルユニットは何でしょう?,「PERFECT HUMAN」というヒット曲で知られるダンスと歌のユニットは、主にコメディデュオのオリエンタルラジオを中心に結成されていますか？,いいえ、彼らは音楽グループであり、ダンスや歌ではありません。オリエンタルラジオは、日本のお笑い芸人で、ダンスや歌を披露するパフォーマンスもしています。一方、PERFECT HUMANは、日本のシンガーソングライター兼ダンサーであるMISIAが率いるダンスと歌のユニットです。そのため、答えはいいえです。
777,QA20CAPR-0175,ドイツ語,お笑いコンビ・オリエンタルラジオを中心に結成された、ヒット曲『PERFECT HUMAN』で知られるダンス&ボーカルユニットは何でしょう?,「PERFECT HUMAN」というヒット曲で知られ、主にコメディデュオのオリエンタルラジオを中心に結成されたダンスと歌のユニットは何ですか？,RADIO FISHです。
778,QA20CAPR-0175,イタリア語,お笑いコンビ・オリエンタルラジオを中心に結成された、ヒット曲『PERFECT HUMAN』で知られるダンス&ボーカルユニットは何でしょう?,「PERFECT HUMAN」という成功した曲で知られるダンスとボーカルユニットは、主にコメディデュオオリエンタルラジオを中心に結成されています。,オリエンタルラジオは、主にダンスとボーカルユニットのPERFECT HUMANで知られています。
779,QA20CAPR-0175,韓国語,お笑いコンビ・オリエンタルラジオを中心に結成された、ヒット曲『PERFECT HUMAN』で知られるダンス&ボーカルユニットは何でしょう?,「PERFECT HUMAN」というヒット曲で知られるダンス＆ボーカルユニットは、主にお笑いコンビオリエンタルラジオを中心に結成されていますか？」,いいえ。彼らは音楽グループであり、ダンスやボーカルパフォーマンスではありません。彼らは、オリエンタルラジオの2人のダンス&ボーカルユニットです。彼らは、ダンスとボーカルパフォーマンスで人気があり、多くの賞を受賞しています。彼らの曲は、オリエンタルラジオがパーソナリティを務めるラジオ番組やイベントで頻繁に使用されています。
780,QA20CAPR-0175,ポルトガル語,お笑いコンビ・オリエンタルラジオを中心に結成された、ヒット曲『PERFECT HUMAN』で知られるダンス&ボーカルユニットは何でしょう?,「PERFECT HUMAN」という成功した曲で知られるダンスとボーカルユニットは、主にコメディデュオオリエンタルラジオを中心に結成されています。,オリエンタルラジオは、主にダンスとボーカルユニットのPERFECT HUMANで知られています。
781,QA20CAPR-0175,ロシア語,お笑いコンビ・オリエンタルラジオを中心に結成された、ヒット曲『PERFECT HUMAN』で知られるダンス&ボーカルユニットは何でしょう?,「PERFECT HUMAN」というヒット曲で知られ、主にコメディデュオのオリエンタルラジオをベースにしているダンスとボーカルグループはどれですか？,東京パフォーマンスドールです。
782,QA20CAPR-0175,スペイン語,お笑いコンビ・オリエンタルラジオを中心に結成された、ヒット曲『PERFECT HUMAN』で知られるダンス&ボーカルユニットは何でしょう?,「PERFECT HUMAN」という成功した曲で知られる、主にコメディデュオオリエンタルラジオを中心に結成されたダンスと歌のユニットは何ですか？,RADIO FISHです。彼らは、オリエンタルラジオがメインパーソナリティを務める人気ラジオ番組「オールナイトニッポン」でパフォーマンスを披露しています。彼らの曲は、ダンスフロアやディスコで非常に人気があります。
783,QA20CAPR-0177,英語,体を切られても生き続けることから、「ハンザキ」という別名を持つ天然記念物は何でしょう?,「ハンザキ」という別名を持つ、切られても生き続ける自然記念物は何ですか？,マンモスの牙です。マンモスは氷河期に絶滅しましたが、牙は氷河期の後も残り続けました。マンモスの牙は、氷河期後に残った数少ない自然記念物の1つです。
784,QA20CAPR-0177,中国語,体を切られても生き続けることから、「ハンザキ」という別名を持つ天然記念物は何でしょう?,「ハンザキ」とは、切り倒されても生き残る天然記念物ですか？,はい、ハンザキは、日本や中国、台湾などの国々で非常に人気のある樹種です。高さ30〜50メートルに達することが多く、寿命が長いことで知られています。
785,QA20CAPR-0177,フランス語,体を切られても生き続けることから、「ハンザキ」という別名を持つ天然記念物は何でしょう?,「ハンザキ」として知られる自然記念物は、切り倒されても生き続けるものですか？,はい、ハンザキは切り倒されても生き続けます。 ハンザキは、北アメリカや南アメリカ、西インド諸島などの広い地域に見られます。 ハンザキは、主にメキシコ、中央アメリカ、カリブ海周辺の熱帯地帯で見つかります。
786,QA20CAPR-0177,ドイツ語,体を切られても生き続けることから、「ハンザキ」という別名を持つ天然記念物は何でしょう?,「ハンザキ」という名前の自然記念物は、切られた後でも生き続けるものですか？,はい、ハンザキは、切られた後も生き続けます。 切られた後も、ハンザキは周囲の環境に適応し、周囲の植物や動物との相互作用を続けています。 切られた後も、ハンザキは周囲の環境に適応し、周囲の植物や動物との相互作用を続けています。
787,QA20CAPR-0177,イタリア語,体を切られても生き続けることから、「ハンザキ」という別名を持つ天然記念物は何でしょう?,「ハンザキ」として知られる自然記念物は、切り倒されても生き続けるものですか？,はい、ハンザキは切り倒されても生き続けます。 ハンザキは、北アメリカや南アメリカ、西インド諸島などの広い地域に見られます。 ハンザキは、主にメキシコ、中央アメリカ、カリブ海周辺の熱帯地帯で見つかります。
